geoid,name,median_income,median_age,total_pop
93252,ZCTA5 93252,36726,38.9,2488
93270,ZCTA5 93270,34023,35.3,5367
93291,ZCTA5 93291,61599,30.4,59270
93304,ZCTA5 93304,40710,29.2,49115
93306,ZCTA5 93306,55133,31.3,72280
93307,ZCTA5 93307,38415,27.5,86832
90716,ZCTA5 90716,50149,32.3,14285
90717,ZCTA5 90717,71388,39.8,21508
90731,ZCTA5 90731,53456,36.9,60659
90744,ZCTA5 90744,50875,30.6,56880
90746,ZCTA5 90746,89364,42.9,27075
90822,ZCTA5 90822,NA,73.1,133
94929,ZCTA5 94929,119706,38.9,254
94065,ZCTA5 94065,172663,42.1,12461
94066,ZCTA5 94066,109387,39.3,43101
94086,ZCTA5 94086,139847,33.3,50477
94304,ZCTA5 94304,130227,38.8,3852
94110,ZCTA5 94110,134592,37.3,72380
93420,ZCTA5 93420,85551,47.1,30740
93454,ZCTA5 93454,64575,31.4,40432
93458,ZCTA5 93458,58847,26.4,57256
93461,ZCTA5 93461,50272,41,1349
93536,ZCTA5 93536,79990,36.2,70237
93546,ZCTA5 93546,62747,32.4,9591
93591,ZCTA5 93591,47453,31.1,6744
93609,ZCTA5 93609,45362,34.1,5177
93616,ZCTA5 93616,36250,31.7,2582
93618,ZCTA5 93618,44576,27.9,31470
93626,ZCTA5 93626,86473,43,2427
93501,ZCTA5 93501,36250,40.8,4802
93505,ZCTA5 93505,49014,34.9,13774
93526,ZCTA5 93526,43077,44.6,629
93530,ZCTA5 93530,NA,NA,10
93552,ZCTA5 93552,65728,32,39905
93560,ZCTA5 93560,60743,31.9,21756
93608,ZCTA5 93608,38203,32,1280
93669,ZCTA5 93669,NA,58.4,238
93701,ZCTA5 93701,23153,27.1,10166
93728,ZCTA5 93728,36197,30.2,16574
93924,ZCTA5 93924,101761,54.1,6514
93925,ZCTA5 93925,50750,29.4,2073
93933,ZCTA5 93933,66711,33.5,25442
93638,ZCTA5 93638,45811,28.4,49932
93651,ZCTA5 93651,102824,44.2,1798
93660,ZCTA5 93660,35339,27.7,4090
93664,ZCTA5 93664,100938,62.2,380
93667,ZCTA5 93667,75250,44.3,2405
93673,ZCTA5 93673,44375,28,754
93711,ZCTA5 93711,73930,43.8,38007
93720,ZCTA5 93720,89671,37.3,47081
93907,ZCTA5 93907,82520,41.2,23299
93921,ZCTA5 93921,98313,57.7,3316
93930,ZCTA5 93930,54605,30.3,17067
93012,ZCTA5 93012,102480,44.5,36052
93030,ZCTA5 93030,73093,32.4,58422
93040,ZCTA5 93040,48864,32.6,1827
93110,ZCTA5 93110,87111,46.5,16849
93212,ZCTA5 93212,38521,34.9,23357
93218,ZCTA5 93218,28750,36.2,871
93260,ZCTA5 93260,41500,57.9,226
93261,ZCTA5 93261,21010,34.1,2434
93263,ZCTA5 93263,46274,27.4,22210
93267,ZCTA5 93267,30781,34.3,6788
93274,ZCTA5 93274,53185,28.7,74000
93276,ZCTA5 93276,NA,32.3,144
93422,ZCTA5 93422,82766,38.4,33466
93455,ZCTA5 93455,88874,37.8,46175
93612,ZCTA5 93612,44105,33,35140
93621,ZCTA5 93621,NA,52.3,136
93627,ZCTA5 93627,NA,NA,247
93634,ZCTA5 93634,NA,30,22
95387,ZCTA5 95387,39919,28.9,636
95403,ZCTA5 95403,75954,37.4,45096
95409,ZCTA5 95409,75571,53.3,27186
95422,ZCTA5 95422,31793,37.7,15696
95423,ZCTA5 95423,46500,54.3,3751
95425,ZCTA5 95425,73235,42.1,10984
90008,ZCTA5 90008,43364,43.2,31754
90013,ZCTA5 90013,22316,43.3,12559
90016,ZCTA5 90016,48715,37.4,45899
90017,ZCTA5 90017,35605,31.7,27723
90036,ZCTA5 90036,80539,34.8,37965
90064,ZCTA5 90064,102117,40.3,25925
90065,ZCTA5 90065,67479,37.2,46461
90241,ZCTA5 90241,72715,36,43215
90248,ZCTA5 90248,61448,43,11607
90270,ZCTA5 90270,44124,30.1,27287
90275,ZCTA5 90275,138293,50,42146
90305,ZCTA5 90305,80165,46.2,15042
90401,ZCTA5 90401,82681,37.2,7111
90402,ZCTA5 90402,154583,48.6,11882
90404,ZCTA5 90404,78542,37.4,22929
90670,ZCTA5 90670,71343,37.5,16700
90745,ZCTA5 90745,80176,38.7,56930
90806,ZCTA5 90806,54437,33.1,41990
90813,ZCTA5 90813,38449,30.1,58380
90001,ZCTA5 90001,43360,29.1,59832
90012,ZCTA5 90012,47027,35.3,36552
90034,ZCTA5 90034,75714,34,53861
90061,ZCTA5 90061,42500,31.2,27873
90066,ZCTA5 90066,83899,38.1,59167
90638,ZCTA5 90638,95723,39.6,49227
90712,ZCTA5 90712,96634,39.3,31217
90804,ZCTA5 90804,52948,32,39239
90807,ZCTA5 90807,78948,42.1,32202
90810,ZCTA5 90810,60227,34.2,37251
90501,ZCTA5 90501,71712,37.7,41975
90660,ZCTA5 90660,67636,37.1,63001
90704,ZCTA5 90704,73287,42.3,3979
90720,ZCTA5 90720,106332,43.7,22261
90723,ZCTA5 90723,55670,30.9,54513
90803,ZCTA5 90803,90278,45.4,32126
90022,ZCTA5 90022,46051,32.6,67014
90019,ZCTA5 90019,56389,38.2,64534
90028,ZCTA5 90028,45499,36.3,29774
90037,ZCTA5 90037,35424,30.7,67640
90041,ZCTA5 90041,85971,38.8,29090
90048,ZCTA5 90048,100586,37.7,21489
90057,ZCTA5 90057,37700,33.5,50152
90067,ZCTA5 90067,118393,66.4,2428
90068,ZCTA5 90068,88535,42.5,21092
90069,ZCTA5 90069,93380,42.9,20230
90210,ZCTA5 90210,147270,49.2,19314
90221,ZCTA5 90221,51377,31,51688
90232,ZCTA5 90232,90467,40.4,14780
90240,ZCTA5 90240,86383,38.2,26413
90247,ZCTA5 90247,55561,38,48293
90274,ZCTA5 90274,169919,51.7,25061
90293,ZCTA5 90293,105865,37.9,12728
90301,ZCTA5 90301,47464,35.4,38234
92064,ZCTA5 92064,108030,41,49805
92069,ZCTA5 92069,71488,34.3,50376
92086,ZCTA5 92086,41083,62.3,1543
92126,ZCTA5 92126,96915,34.5,82658
92130,ZCTA5 92130,155452,39,56134
92236,ZCTA5 92236,34436,34.7,45477
94112,ZCTA5 94112,94757,42.8,84707
94132,ZCTA5 94132,84349,33,31436
94511,ZCTA5 94511,33583,45.5,2161
94513,ZCTA5 94513,108243,40.5,64313
94533,ZCTA5 94533,73042,33.8,75909
94061,ZCTA5 94061,112609,37,39023
91945,ZCTA5 91945,64027,35.4,27236
91377,ZCTA5 91377,132578,43.8,13853
91403,ZCTA5 91403,104802,39,25156
91411,ZCTA5 91411,58605,35.2,26111
91506,ZCTA5 91506,81597,42.9,18591
91752,ZCTA5 91752,85296,34.2,35694
91754,ZCTA5 91754,63909,43,33636
91763,ZCTA5 91763,62386,32.5,38863
91765,ZCTA5 91765,100480,42.8,46593
91709,ZCTA5 91709,106347,38,80701
